央视,#genre#
CCTV1综合,http://k.061899.xyz/m.php?id=cctv1
CCTV2财经,http://k.061899.xyz/m.php?id=cctv2
CCTV3综艺,http://k.061899.xyz/m.php?id=cctv3
CCTV4中文国际,http://k.061899.xyz/m.php?id=cctv4
CCTV4美洲,http://k.061899.xyz/m.php?id=cctv4m
CCTV4欧洲,http://k.061899.xyz/m.php?id=cctv4o
CCTV5体育,http://k.061899.xyz/m.php?id=cctv5
CCTV5+体育赛事,http://k.061899.xyz/m.php?id=cctv5p
CCTV6电影,http://k.061899.xyz/m.php?id=cctv6
CCTV7国防军事,http://k.061899.xyz/m.php?id=cctv7
CCTV8电视剧,http://k.061899.xyz/m.php?id=cctv8
CCTV9纪录,http://k.061899.xyz/m.php?id=cctv9
CCTV10科教,http://k.061899.xyz/m.php?id=cctv10
CCTV11戏曲,http://k.061899.xyz/m.php?id=cctv11
CCTV12社会与法,http://k.061899.xyz/m.php?id=cctv12
CCTV13新闻,http://k.061899.xyz/m.php?id=cctv13
CCTV14少儿,http://k.061899.xyz/m.php?id=cctv14
CCTV15音乐,http://k.061899.xyz/m.php?id=cctv15
CCTV16奥林匹克,http://k.061899.xyz/m.php?id=cctv16
CCTV17农业农村,http://k.061899.xyz/m.php?id=cctv17
其它,#genre#
CHC家庭影院,http://k.061899.xyz/m.php?id=jtyy
CHC动作电影,http://k.061899.xyz/m.php?id=dzdy
CHC影迷电影,http://k.061899.xyz/m.php?id=ymdy
其它,#genre#
CCTV发现之旅,http://k.061899.xyz/m.php?id=fxzl
CCTV中学生,http://k.061899.xyz/m.php?id=zxs
CCTV老故事,http://k.061899.xyz/m.php?id=lgs
CGTN,http://k.061899.xyz/m.php?id=cgtn
CGTN纪录,http://k.061899.xyz/m.php?id=cgtnjl
CCTV西班牙语,http://k.061899.xyz/m.php?id=cgtne
CCTV法语,http://k.061899.xyz/m.php?id=cgtnf
CCTV阿拉伯语,http://k.061899.xyz/m.php?id=cgtna
CCTV俄语,http://k.061899.xyz/m.php?id=cgtnr
CETV1,http://k.061899.xyz/m.php?id=cetv1
CETV2,http://k.061899.xyz/m.php?id=cetv2
CETV4,http://k.061899.xyz/m.php?id=cetv4
卫视,#genre#
浙江卫视,http://k.061899.xyz/m.php?id=zjws
广东卫视,http://k.061899.xyz/m.php?id=gdws
江苏卫视,http://k.061899.xyz/m.php?id=jsws
东方卫视,http://k.061899.xyz/m.php?id=dfws
陕西卫视,http://k.061899.xyz/m.php?id=sxws
江西卫视,http://k.061899.xyz/m.php?id=jxws
湖北卫视,http://k.061899.xyz/m.php?id=hubws
吉林卫视,http://k.061899.xyz/m.php?id=jlws
青海卫视,http://k.061899.xyz/m.php?id=qhws
河南卫视,http://k.061899.xyz/m.php?id=hnws
东南卫视,http://k.061899.xyz/m.php?id=dnws
大湾区卫视,http://k.061899.xyz/m.php?id=dwqws
海南卫视,http://k.061899.xyz/m.php?id=hinws
湖南卫视,http://k.061899.xyz/m.php?id=hunws
北京卫视,http://k.061899.xyz/m.php?id=bjws
天津卫视,http://k.061899.xyz/m.php?id=tjws
重庆卫视,http://k.061899.xyz/m.php?id=cqws
黑龙江卫视,http://k.061899.xyz/m.php?id=hljws
吉林卫视,http://k.061899.xyz/m.php?id=jlws
辽宁卫视,http://k.061899.xyz/m.php?id=lnws
内蒙古卫视,http://k.061899.xyz/m.php?id=nmgws
甘肃卫视,http://k.061899.xyz/m.php?id=gsws
河北卫视,http://k.061899.xyz/m.php?id=hbws
山西卫视,http://k.061899.xyz/m.php?id=sxiws
山东卫视,http://k.061899.xyz/m.php?id=sdws
安徽卫视,http://k.061899.xyz/m.php?id=ahws
深圳卫视,http://k.061899.xyz/m.php?id=szws
广西卫视,http://k.061899.xyz/m.php?id=gxws
云南卫视,http://k.061899.xyz/m.php?id=ynws
宁夏卫视,http://k.061899.xyz/m.php?id=nxws
贵州卫视,http://k.061899.xyz/m.php?id=gzws
四川卫视,http://k.061899.xyz/m.php?id=scws
新疆卫视,http://k.061899.xyz/m.php?id=xjws
西藏卫视,http://k.061899.xyz/m.php?id=xzws
兵团卫视,http://k.061899.xyz/m.php?id=btws
其它,#genre#
广东珠江,http://k.061899.xyz/m.php?id=gdzj
广东体育,http://k.061899.xyz/m.php?id=gdty
上海五星体育,http://k.061899.xyz/m.php?id=wxty
广东影视,http://k.061899.xyz/m.php?id=gdys
上海新闻综合,http://k.061899.xyz/m.php?id=shxw
上海东方影视,http://k.061899.xyz/m.php?id=shys
上海第一财经,http://k.061899.xyz/m.php?id=dycj
魅力足球,http://k.061899.xyz/m.php?id=mlzq
劲爆体育,http://k.061899.xyz/m.php?id=jbty
军事迷必看大片,http://k.061899.xyz/m.php?id=jsm
新片放映厅,http://k.061899.xyz/m.php?id=xpdy
红色轮播台,http://k.061899.xyz/m.php?id=hslb
金色剧场,http://k.061899.xyz/m.php?id=jsjc
掼蛋精英赛,http://k.061899.xyz/m.php?id=dds
咪咕24小时体育台,http://k.061899.xyz/m.php?id=mgty
优漫卡通,http://k.061899.xyz/m.php?id=jjkt
嘉佳卡通,http://k.061899.xyz/m.php?id=jjkt
BRTV文艺,http://k.061899.xyz/m.php?id=bjwy
BRTV纪实科教,http://k.061899.xyz/m.php?id=bjjs
BRTV影视,http://k.061899.xyz/m.php?id=bjys
BRTV财经,http://k.061899.xyz/m.php?id=bjcj
BRTV体育休闲,http://k.061899.xyz/m.php?id=bjty
BRTV生活,http://k.061899.xyz/m.php?id=bjsh
BRTV新闻,http://k.061899.xyz/m.php?id=bjxw
卡酷少儿,http://k.061899.xyz/m.php?id=bjkk
掼蛋精英赛,http://k.061899.xyz/m.php?id=dds
高清大片,http://k.061899.xyz/m.php?id=gqdp
红色轮播台,http://k.061899.xyz/m.php?id=hslb
经典动画大集合,http://k.061899.xyz/m.php?id=dhdjh
经典深圳旁边电影,http://k.061899.xyz/m.php?id=xgdy
军事迷必看大片,http://k.061899.xyz/m.php?id=jsm
咪咕24小时体育台,http://k.061899.xyz/m.php?id=mgty
赛事最经典,http://k.061899.xyz/m.php?id=sszjd
体坛名栏汇,http://k.061899.xyz/m.php?id=ttmlh
乡村振兴,http://k.061899.xyz/m.php?id=xczx
幸福中国年,http://k.061899.xyz/m.php?id=xfzgn
新片放映厅,http://k.061899.xyz/m.php?id=xpdy
周杰伦现场,http://k.061899.xyz/m.php?id=zjlxc
最强综艺趴,http://k.061899.xyz/m.php?id=zqzyp
金色剧场,http://k.061899.xyz/m.php?id=jsjc
临洮电视台,https://k.061899.xyz/m.php?id=lttv
江苏城市,https://k.061899.xyz/m.php?id=jscs
江苏综艺,https://k.061899.xyz/m.php?id=jszy
江苏影视,https://k.061899.xyz/m.php?id=jsys
江苏公共新闻,https://k.061899.xyz/m.php?id=jsxw
江苏国际,https://k.061899.xyz/m.php?id=jsgj
江苏教育,https://k.061899.xyz/m.php?id=jsjy
江苏体育休闲,https://k.061899.xyz/m.php?id=jstyxx
优漫卡通,https://k.061899.xyz/m.php?id=ymkt
南京新闻综合,https://k.061899.xyz/m.php?id=njxwzh
南京教科,https://k.061899.xyz/m.php?id=njkj
南京十八,https://k.061899.xyz/m.php?id=njsb
淮安新闻综合,https://k.061899.xyz/m.php?id=haxwzh
连云港新闻综合,https://k.061899.xyz/m.php?id=lygxwzh
泰州新闻综合,https://k.061899.xyz/m.php?id=tzxwzh
宿迁新闻综合,https://k.061899.xyz/m.php?id=sqxwzh
徐州新闻综合,https://k.061899.xyz/m.php?id=xzxwzh

